Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history,source
Amadou Haidara,402008,€16.00m,"Jun 5, 2025","Jan 31, 1998",27,1.78,Mali,[],Central Midfield,,RB Leipzig,,,"Jan 1, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Andrey Lunev,112541,€1.20m,"Jun 4, 2025","Nov 13, 1991",33,1.9,Russia,[],Goalkeeper,,Dynamo Moscow,,,"Jul 1, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Timothy Fosu-Mensah,315131,€500k,"Apr 4, 2025","Jan 2, 1998",27,1.88,Netherlands,[],Right-Back,,Without Club,B. Leverkusen,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Filip Kostić,161011,€5.00m,"Jun 18, 2025","Nov 1, 1992",32,1.84,Serbia,[],Left Midfield,,Juventus,,,"Aug 12, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Dzenan Pejcinovic,819636,€4.00m,"Jun 19, 2025","Feb 15, 2005",20,1.9,Germany,[],Centre-Forward,,VfL Wolfsburg,,,"Jul 14, 2022","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Xaver Schlager,223979,€10.00m,"Jun 5, 2025","Sep 28, 1997",27,1.74,Austria,[],Central Midfield,,RB Leipzig,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Christopher Nkunku,344381,€35.00m,"May 30, 2025","Nov 14, 1997",27,1.77,France,"['France', 'DR Congo']",Centre-Forward,"                    0
0  Attacking Midfield
1         Left Winger",Chelsea,,,"Jul 1, 2023","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Julian Ryerson,370789,€20.00m,"Jun 5, 2025","Nov 17, 1997",27,1.83,Norway,[],Right-Back,,Bor. Dortmund,,,"Jan 17, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jonas Omlin,247915,€2.50m,"Jun 5, 2025","Jan 10, 1994",31,1.9,Switzerland,['Switzerland'],Goalkeeper,,Bor. M'gladbach,,,"Jan 19, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Robert Andrich,159088,€9.00m,"Jun 5, 2025","Sep 22, 1994",30,1.87,Germany,['Germany'],Defensive Midfield,"                  0
0  Central Midfield
1       Centre-Back",B. Leverkusen,,,"Aug 16, 2021","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Hrvoje Smolcic,571299,€2.00m,"Jun 6, 2025","Aug 17, 2000",24,1.85,Croatia,['Croatia'],Centre-Back,"           0
0  Left-Back",E. Frankfurt,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Thomas Müller,58358,€6.00m,"Jun 5, 2025","Sep 13, 1989",35,1.85,Germany,[],Second Striker,,Without Club,Bayern Munich,"Aug 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Rocco Reitz,467434,€15.00m,"Jun 5, 2025","May 29, 2002",23,1.76,Germany,['Germany'],Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Bor. M'gladbach,,,"Jul 1, 2020","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mohamed Simakan,666234,€23.00m,"May 27, 2025","May 3, 2000",25,1.87,France,[],Centre-Back,,Al-Nassr,,,"Sep 2, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Youssoufa Moukoko,467720,€10.00m,"Jun 3, 2025","Nov 20, 2004",20,1.79,Germany,[],Centre-Forward,,FC Copenhagen,,,"Jul 1, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Robin Zentner,160963,€4.00m,"Jun 5, 2025","Oct 28, 1994",30,1.95,Germany,['Germany'],Goalkeeper,,1.FSV Mainz 05,,,"Jul 1, 2014","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Lukas Hradecky,48015,€2.00m,"Jun 5, 2025","Nov 24, 1989",35,1.92,Finland,[],Goalkeeper,,B. Leverkusen,,,"Jul 1, 2018","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Karim Adeyemi,496094,€45.00m,"Jun 5, 2025","Jan 18, 2002",23,1.8,Germany,[],Right Winger,,Bor. Dortmund,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Alassane Pléa,167329,€5.00m,"Jun 5, 2025","Mar 10, 1993",32,1.81,France,[],Centre-Forward,,PSV Eindhoven,,,"Jul 17, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Eniss Shabani,663189,€125k,"Jun 11, 2025","May 29, 2003",22,1.8,Albania,[],Central Midfield,,Without Club,FSV Mainz 05 II,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ansgar Knauff,429874,€15.00m,"Jun 5, 2025","Jan 10, 2002",23,1.8,Germany,[],Right Winger,,E. Frankfurt,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ansgar Knauff,429874,€15.00m,"Jun 5, 2025","Jan 10, 2002",23,1.8,Germany,"['Germany', 'Ghana']",Right Winger,"                0
0     Left Winger
1  Right Midfield",E. Frankfurt,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jérôme Onguéné,272638,€250k,"Apr 4, 2025","Dec 22, 1997",27,1.86,Cameroon,[],Centre-Back,,Without Club,E. Frankfurt II,"Jan 4, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Florian Wirtz,598577,€140.00m,"Jun 5, 2025","May 3, 2003",22,1.77,Germany,[],Attacking Midfield,,Liverpool,,,"Jul 1, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Grischa Prömel,234029,€3.00m,"Jun 5, 2025","Jan 9, 1995",30,1.84,Germany,[],Central Midfield,,TSG Hoffenheim,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Leroy Sané,192565,€32.00m,"Jun 5, 2025","Jan 11, 1996",29,1.83,Germany,[],Right Winger,,Galatasaray,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
